0.00,0.00,0.00,0.00,0.00,7.00,4.75
4.67,0.00,3.00,0.00,0.00,0.00,3.67
0.00,0.00,0.00,0.00,0.00,0.00,2.25
0.00,0.00,1.54,0.00,0.00,0.00,7.69
1.18,4.12,0.00,3.24,0.00,0.00,4.12
0.00,0.00,0.00,0.00,0.00,0.00,3.75
9.09,0.00,3.94,7.27,0.00,3.94,2.42
0.00,0.00,0.00,0.00,0.00,0.00,3.46
3.86,0.00,0.00,4.77,0.00,5.00,0.91
0.00,1.30,0.00,1.30,0.87,0.00,7.17
0.00,0.00,3.93,5.71,0.00,0.00,0.71
0.00,6.94,0.00,0.00,0.00,0.00,4.44
0.00,0.00,0.00,3.46,1.35,0.00,8.85
0.00,0.00,0.00,0.00,0.00,0.00,3.94
0.29,0.00,0.00,0.00,2.00,1.14,5.14
0.00,0.00,0.00,2.73,0.00,0.00,10.00
0.00,0.00,0.00,0.97,0.00,0.00,2.26
0.00,10.00,2.44,4.15,0.00,0.00,4.63
0.00,0.00,1.89,0.00,0.00,0.00,2.97
4.44,0.00,4.00,0.00,0.00,0.00,3.78
0.00,0.00,0.00,0.00,0.00,6.07,4.64
0.56,0.00,0.00,0.00,0.00,0.00,2.22
7.69,3.33,0.00,0.00,4.87,0.00,2.56
0.00,0.00,0.00,0.00,0.00,0.00,5.00
0.00,0.00,0.00,3.53,0.00,0.00,0.59
4.14,6.55,8.28,0.00,0.00,0.00,4.83
0.00,0.00,0.00,0.00,0.00,0.00,5.59
0.00,0.00,0.00,0.00,1.03,0.00,3.45
0.00,8.97,0.00,0.00,0.00,0.00,4.62
0.00,0.00,0.00,0.00,0.00,10.00,1.76
0.00,0.00,0.00,0.00,2.42,6.36,2.42
0.00,0.00,0.00,0.00,0.00,0.00,5.45
0.26,5.79,0.00,0.00,0.00,0.00,6.58
0.81,0.00,0.00,0.00,0.00,0.00,6.22
0.00,0.00,10.00,0.00,0.00,0.00,2.08
4.71,0.00,0.00,0.00,0.00,3.53,4.71
0.00,0.00,0.00,0.00,0.00,0.00,3.55
0.00,0.00,0.00,1.84,2.37,0.00,4.21
0.00,0.00,4.44,0.00,0.00,0.00,3.61
0.00,0.00,0.00,0.00,0.00,2.50,3.57
0.00,3.78,0.00,0.00,0.00,0.00,3.11
4.67,0.00,0.00,2.67,0.00,8.00,1.67
0.00,0.00,4.84,0.00,0.00,0.00,3.23
0.00,0.00,0.00,4.71,0.00,0.00,3.82
0.00,0.00,0.00,0.00,0.00,0.00,2.20
1.33,0.00,0.00,0.00,0.00,0.00,3.11
0.00,0.00,0.00,0.00,2.00,1.14,6.00
0.00,0.00,0.00,0.00,0.00,0.00,3.43
0.00,0.00,0.00,0.00,0.00,0.00,6.52
5.65,9.13,0.00,0.00,0.00,0.00,0.87
0.00,0.32,6.13,0.00,0.00,0.00,10.00
3.23,0.00,0.00,0.00,0.00,0.00,8.06
0.00,2.29,0.00,0.00,0.00,0.00,6.46
0.00,0.00,0.00,0.00,0.93,0.00,1.16
2.42,0.00,0.00,0.00,0.00,0.00,4.85
0.00,0.00,0.00,0.00,0.00,3.94,6.36
0.00,0.00,0.00,2.19,0.00,0.00,7.50
0.00,0.00,5.45,0.00,0.00,0.00,6.36
0.00,0.00,0.00,4.49,0.00,0.00,6.73
0.00,0.00,0.00,3.51,0.00,0.00,10.00
0.00,0.00,0.00,0.00,0.00,0.00,3.61
0.00,0.00,0.00,0.00,0.00,0.00,2.73
4.00,0.00,0.00,0.00,0.00,2.57,0.29
0.00,0.00,0.00,0.00,0.00,0.00,1.86
0.00,10.00,5.41,10.00,0.00,1.35,4.86
0.00,0.00,0.00,0.00,0.00,0.00,3.03
0.00,3.75,0.00,0.00,0.00,0.00,6.25
0.00,0.00,0.00,0.00,0.00,0.00,3.42
8.24,0.00,0.00,4.41,0.00,0.00,0.88
0.00,0.00,5.60,8.00,4.00,0.00,4.40
0.00,10.00,0.00,0.00,0.00,5.48,3.23
0.00,0.00,0.00,0.00,0.00,1.25,3.12
4.41,0.00,0.00,6.18,1.18,0.00,5.59
0.00,0.00,0.00,0.00,0.00,3.59,3.85
1.84,0.00,0.00,0.00,0.00,0.00,10.00
9.76,0.48,0.71,0.00,1.67,0.00,2.86
0.00,0.00,0.71,0.00,10.00,0.00,4.05
0.00,0.00,0.00,0.00,0.00,0.00,1.76
0.00,0.00,0.00,0.00,0.00,0.00,10.00
0.00,0.00,0.00,3.64,0.00,0.00,10.00
0.00,0.00,0.00,2.19,0.00,0.00,4.06
0.00,4.00,0.00,6.57,0.00,0.00,1.14
0.00,0.00,0.00,0.00,1.00,0.00,4.00
0.00,0.00,0.00,0.00,0.00,0.00,5.25
0.82,0.00,7.14,0.00,0.00,5.10,2.04
0.00,0.00,0.00,7.33,0.67,0.00,8.00
0.00,0.00,0.00,0.00,0.00,0.00,6.29
0.00,6.83,7.56,0.00,0.00,0.00,4.88
5.00,0.00,0.00,0.00,0.00,8.06,4.44
0.00,3.10,0.00,0.00,0.00,0.00,2.38
4.22,0.00,0.00,0.00,0.00,3.11,6.00
0.00,0.00,0.00,3.75,0.00,2.71,4.38
0.00,0.00,0.00,0.00,1.71,0.00,5.37
0.00,0.00,0.00,0.00,0.00,0.00,3.75
0.00,0.00,0.00,0.00,0.00,3.00,2.67
0.00,0.00,2.67,0.00,0.00,0.00,6.67
0.00,0.53,0.00,0.00,0.00,0.00,3.16
0.00,0.00,0.00,0.00,0.00,10.00,0.24
0.00,6.49,0.00,0.54,0.00,0.00,0.27
5.14,0.00,7.14,0.00,0.00,0.00,0.86
2.13,6.60,0.00,0.00,4.68,0.00,6.60
0.00,0.00,0.00,0.00,10.00,7.61,6.96
4.78,0.00,0.00,0.00,6.09,0.00,1.30
0.00,0.00,0.00,0.00,0.00,0.00,2.00
0.00,0.00,0.00,0.00,0.00,0.00,4.69
0.00,0.00,0.00,0.00,0.00,3.87,4.52
0.00,0.00,4.52,0.00,2.90,0.00,2.90
0.00,0.00,0.00,0.00,0.00,0.00,8.72
0.00,0.00,0.00,0.00,0.00,0.00,5.36
2.06,3.24,0.00,0.00,0.00,7.06,3.53
0.00,0.00,0.00,2.11,0.00,0.00,3.68
0.00,1.79,0.00,0.00,0.00,0.00,4.36
0.00,3.48,0.00,0.00,5.22,0.00,3.48
0.00,0.00,0.00,0.00,0.00,4.06,4.06
0.42,0.00,8.75,0.00,0.00,0.00,10.00
0.00,0.00,0.00,0.00,0.00,1.48,7.04
0.41,0.00,0.00,0.00,0.00,0.00,2.65
0.00,0.00,0.00,0.00,4.83,0.00,2.07
0.00,0.00,2.00,0.00,10.00,0.00,1.11
0.00,0.68,0.00,0.00,0.00,0.00,5.45
5.71,7.14,0.00,6.73,0.00,0.00,3.88
0.00,5.17,0.00,4.14,0.00,0.00,10.00
0.00,2.81,2.81,0.00,0.00,0.00,6.25
0.00,5.62,0.00,0.00,0.00,0.00,2.50
0.00,0.00,6.42,0.00,0.00,0.00,4.91
0.00,0.00,0.00,5.52,0.00,0.00,7.59
0.00,0.00,0.00,5.00,0.00,0.00,6.11
0.00,0.00,3.33,0.00,0.00,0.00,2.59
1.61,0.00,0.00,0.54,0.00,0.00,6.79
2.57,0.00,0.00,0.00,0.00,0.00,10.00
4.55,0.00,0.00,0.00,0.00,0.00,6.59
0.00,0.00,1.76,6.76,0.00,0.00,7.65
0.00,0.00,0.00,0.00,0.00,0.00,2.29
4.52,0.00,0.00,0.00,1.43,0.00,7.62
0.00,0.00,4.69,0.00,3.75,0.00,3.44
8.00,0.00,0.00,4.29,0.00,0.00,1.71
0.00,0.00,0.00,3.51,0.00,0.00,1.35
0.00,0.00,0.00,0.00,4.55,4.24,10.00
0.00,0.00,0.00,0.00,2.00,0.00,7.14
0.00,4.38,0.00,0.00,4.69,8.75,2.50
0.00,0.00,6.67,0.83,0.00,5.28,2.50
4.12,0.00,0.00,0.00,0.00,1.76,3.82
1.28,0.00,5.53,0.00,0.00,0.00,10.00
5.90,0.00,0.00,0.00,0.00,0.00,2.05
5.00,0.00,0.00,0.00,0.00,5.24,1.67
