0.00,0.00,1.71,10.00
2.50,0.00,0.00,1.75
0.00,0.00,0.00,5.45
0.00,0.00,0.00,2.86
0.00,0.00,0.00,0.43
2.86,0.00,0.00,8.57
0.00,0.00,0.00,5.62
0.00,4.12,0.00,4.12
5.71,0.00,0.00,10.00
0.00,0.00,5.75,4.50
0.00,0.00,0.00,4.89
3.06,0.00,0.00,2.22
0.00,7.17,0.00,1.30
0.00,0.00,0.00,4.86
0.00,0.00,0.00,6.57
0.00,0.00,0.00,5.26
4.72,4.44,7.78,6.94
0.00,0.00,1.46,7.56
0.00,0.00,0.00,1.89
3.75,0.00,0.00,5.71
0.00,0.00,0.00,7.14
3.59,0.00,0.00,4.10
0.00,0.00,0.00,6.36
5.71,0.00,9.64,2.50
0.00,4.63,0.00,10.00
0.00,0.00,0.00,6.25
4.00,0.00,0.00,2.86
0.00,0.00,0.00,1.06
0.00,0.00,0.00,7.06
0.00,0.00,0.00,2.12
5.43,0.00,0.00,1.43
0.00,0.00,0.00,10.00
2.05,2.56,0.00,3.33
0.00,0.00,1.46,0.24
0.40,0.00,0.00,5.80
0.00,4.83,4.14,6.55
0.00,0.00,6.57,3.43
0.00,4.62,5.64,8.97
5.87,0.00,3.91,2.61
0.00,6.58,0.00,5.79
8.48,0.00,0.00,6.97
2.00,0.00,5.25,1.25
1.61,0.00,0.00,4.52
0.00,0.00,0.00,5.62
0.00,0.00,0.00,2.98
0.00,0.00,2.41,4.14
0.00,0.00,0.00,0.81
0.00,3.11,0.00,3.78
0.00,0.00,0.00,2.20
5.00,0.00,0.00,4.62
5.14,0.00,0.00,4.57
0.00,0.00,0.00,4.71
0.00,0.00,0.00,3.57
0.00,0.00,0.00,5.65
0.00,0.00,0.00,3.70
0.00,0.00,1.67,5.24
0.00,0.87,0.00,9.13
0.00,10.00,0.00,0.32
6.14,0.00,0.00,7.73
5.21,6.46,0.00,2.29
0.00,0.00,0.00,5.62
0.00,0.00,0.00,2.92
0.00,0.00,0.00,1.52
2.50,0.00,0.00,0.56
0.00,0.00,0.00,10.00
0.00,0.00,0.69,6.90
0.00,4.86,0.00,10.00
3.94,0.00,0.00,4.55
0.00,6.25,0.00,3.75
2.22,0.00,1.85,8.33
0.00,0.00,0.00,4.89
2.70,0.00,0.00,2.97
0.00,0.00,0.00,9.74
5.14,0.00,0.00,8.29
0.00,3.23,5.48,10.00
0.00,0.00,0.00,6.40
0.00,0.00,0.00,1.00
4.44,0.00,0.00,8.89
0.00,0.00,1.61,4.19
0.00,0.00,0.00,9.71
0.00,0.00,0.00,4.32
0.00,2.86,0.00,0.48
0.00,0.00,0.00,7.11
0.00,0.00,0.00,7.59
0.00,0.00,2.55,1.57
0.00,0.00,0.00,3.17
0.00,0.00,0.00,6.79
0.00,1.14,0.00,4.00
6.47,0.00,0.00,6.76
10.00,0.00,0.00,4.55
0.00,0.00,0.00,1.85
4.47,0.00,0.00,1.05
1.71,4.88,6.83,6.83
1.94,0.00,0.00,7.42
2.50,0.00,6.39,8.61
0.00,0.00,0.00,4.26
0.00,0.00,0.00,2.00
0.00,2.38,0.00,3.10
0.00,0.00,1.14,6.29
8.00,0.00,0.00,5.00
0.00,0.00,0.00,8.12
0.00,0.00,0.00,0.75
0.00,0.00,0.00,0.25
0.00,0.00,0.00,2.70
0.00,3.16,0.00,0.53
0.00,0.00,4.15,4.63
0.00,0.27,0.00,6.49
0.00,6.60,3.19,6.60
0.00,0.00,0.00,4.58
0.00,0.00,0.00,8.93
4.19,0.00,1.94,1.94
0.00,0.00,0.00,1.67
0.00,0.00,0.00,2.31
0.00,0.00,0.00,4.40
0.00,0.00,0.00,1.84
0.00,0.00,0.00,10.00
0.00,0.00,0.00,6.59
6.49,0.00,0.00,6.76
1.18,3.53,0.00,3.24
0.00,0.00,0.00,5.24
0.00,4.36,0.00,1.79
9.23,0.00,3.08,4.10
2.17,3.48,0.00,3.48
0.00,0.00,0.00,1.00
0.00,0.00,4.48,0.34
0.00,0.00,0.00,3.87
5.91,5.45,0.00,0.68
0.00,3.88,0.00,7.14
0.00,0.00,1.39,1.94
0.00,10.00,3.79,5.17
0.00,0.00,0.00,0.27
0.00,6.25,0.00,2.81
0.00,2.50,0.00,5.62
0.00,0.00,3.75,3.25
3.90,0.00,0.49,4.63
9.23,0.00,4.36,2.56
0.00,0.00,3.64,1.82
0.00,0.00,2.19,2.19
0.00,0.00,0.00,7.38
0.00,0.00,8.81,8.10
