2.50,0.00,0.00,0.00,6.25,0.00,5.00,0.00,0.00,1.50
0.00,0.00,0.59,10.00,0.00,0.00,0.00,0.00,0.00,8.53
0.00,1.28,0.00,0.00,2.31,0.00,0.00,0.00,6.92,6.41
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.45
0.00,0.00,0.00,0.00,0.00,0.00,0.79,0.00,2.37,5.79
0.00,0.00,10.00,0.00,0.00,0.00,0.00,0.00,0.00,1.61
6.56,6.88,4.38,0.00,0.00,0.00,0.00,0.00,0.00,2.19
0.00,0.00,0.00,10.00,1.96,3.91,0.00,0.00,0.00,4.57
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.33
5.31,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.56
0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.12,4.41,3.24
0.00,0.00,0.00,0.00,0.00,0.00,4.33,0.00,0.00,0.33
0.00,9.39,0.00,0.00,0.00,0.00,3.94,2.42,0.00,7.27
0.00,0.00,0.00,0.00,2.73,0.00,5.00,0.91,0.00,4.77
2.43,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.68
0.00,2.56,0.00,1.54,0.00,0.00,0.00,0.00,0.00,9.49
0.00,0.00,0.00,0.00,6.52,6.74,0.00,7.17,0.00,1.30
0.00,0.00,5.14,0.00,0.00,0.00,0.00,0.00,0.00,2.00
10.00,5.71,6.43,0.00,0.00,0.00,0.00,0.71,0.00,5.71
1.61,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.45
0.00,3.53,5.00,0.00,2.94,0.00,0.00,0.00,0.00,7.94
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.05,9.29
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.08,2.94
0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.85,2.88,3.46
0.00,0.00,0.00,0.00,3.79,4.48,2.41,0.00,0.00,0.34
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.32
0.00,0.00,3.64,0.91,0.00,0.30,0.00,10.00,0.00,2.73
5.71,0.00,0.00,5.36,0.00,0.00,0.00,0.00,0.00,4.64
0.00,4.52,0.00,0.00,0.00,0.00,0.00,2.26,0.00,0.97
0.00,6.43,0.00,0.00,0.00,0.00,2.38,0.00,0.00,4.05
0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.63,0.00,4.15
0.00,0.00,9.71,0.00,0.57,3.71,1.43,0.00,0.00,6.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.14
0.00,0.00,6.36,0.91,0.00,0.00,0.00,0.00,0.00,9.09
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.64
4.71,0.00,0.00,0.00,0.00,0.00,0.00,0.59,0.00,3.53
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.93
8.48,0.00,4.85,0.00,0.00,0.00,0.00,0.00,0.00,3.94
0.00,4.21,0.00,6.05,0.00,0.00,0.00,4.21,0.00,1.84
0.00,4.40,0.00,0.00,7.20,0.00,0.00,0.00,0.00,6.00
0.00,6.28,0.00,1.40,0.00,0.00,0.00,0.00,0.00,2.33
3.12,0.00,0.00,6.88,0.00,0.00,6.56,0.00,0.00,6.56
0.00,0.00,6.43,5.36,0.00,0.00,0.00,0.00,0.00,2.14
